"市区町村コード","旧郵便番号","郵便番号","都道府県カナ","市区町村カナ","字カナ","都道府県","市区町村","大字","unknown","unknown","unknown","unknown","unknown","unknown"
01101,"060  ","0600004","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西十五丁目",1,0,1,0,0,0
01101,"060  ","0600004","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西十六丁目",1,0,1,0,0,0
01101,"060  ","0600004","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西十七丁目",1,0,1,0,0,0
01101,"060  ","0600004","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西十八丁目",1,0,1,0,0,0
01101,"060  ","0600004","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西十九丁目",1,0,1,0,0,0
01101,"064  ","0640824","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西二十丁目",1,0,1,0,0,0
01101,"064  ","0640824","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西二十一丁目",1,0,1,0,0,0
01101,"064  ","0640824","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西二十二丁目",1,0,1,0,0,0
01101,"064  ","0640824","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西二十三丁目",1,0,1,0,0,0
01101,"064  ","0640824","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西二十四丁目",1,0,1,0,0,0
01101,"064  ","0640824","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西二十五丁目",1,0,1,0,0,0
01101,"064  ","0640824","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｷﾀ4ｼﾞｮｳﾆｼ","北海道","札幌市中央区","北四条西二十六丁目",1,0,1,0,0,0
